country,life_expectancy_at_birth_2023,population_2023_thousands_under18,among5_14_mortality_rate_2022,completion_rate_2000_2023_primary,basic_sanitation_household_perc_2022,stunted_perc_2022,pm25_latest,internet_latest,gdp_latest,happiness_rank,life_expectancy_at_birth_2023_raw,among5_14_mortality_rate_2022_raw,completion_rate_2000_2023_primary_raw,basic_sanitation_household_perc_2022_raw,stunted_perc_2022_raw,pm25_latest_raw,internet_latest_raw,gdp_latest_raw,happiness_rank_raw,child_wellbeing_index,iso3,pop_millions
Democratic People's Republic of Korea,0.061099773497272164,5999.844,0.24379360018956023,NA,0.2297181194236292,0.007182995458328759,NA,NA,NA,NA,73.6418,3.7783376344281,NA,84.76503884030176,16.8,NA,NA,NA,NA,0.13544862214219758,PRK,5.999844
Democratic Republic of the Congo,-1.6011496270736338,55606.594,-2.4043361583671357,-0.9244419873903704,-2.341676308924309,-1.8539495457317545,NA,NA,NA,NA,61.895,19.1368033779646,66.6748275756836,16.17447255423928,40.3,NA,NA,NA,NA,-1.8251107254974406,COD,55.606593999999994
Denmark,1.234330762373679,1153.014,0.78871814479804,0.7299591417168426,0.7857626867650342,NA,0.9725637702680843,1.1151584396221923,1.5217485175365577,1.6297080767496268,81.9328,0.617916614975105,99.42,99.59722924009945,NA,9.06983927345931,99.7692,71851.7562131368,2,1.0972436924787572,DNK,1.153014
Djibouti,-1.022175487526194,409.978,-1.1560156135015387,-0.19895977936744,-0.43982957462763983,-0.14329155042512468,-0.7796995936359186,-0.1724396858077068,-0.5178438524035807,NA,65.9865,11.8968679996769,81.0341262817383,66.90521345364982,18.7,35.9243304831101,65.0248,3496.47111876763,NA,-0.5537818921618929,DJI,0.409978
Dominica,-0.29398266775077764,14.649,0.5102037954617228,NA,NA,NA,0.2158260954623677,0.524298380665449,-0.31169810424076705,NA,71.1325,2.23322760173603,NA,NA,NA,20.6672998234563,83.8255,10405.2787777582,NA,0.12892949991959896,DMA,0.014648999999999999
Dominican Republic,0.07217973808888008,3631.019,0.37065637221276726,0.4237866558164569,0.3765534276938807,0.8941908448765814,0.2706726050641127,0.7902608225776062,-0.29766276356210614,-0.12434862030782898,73.7201,3.04256646160217,93.36,88.68179188060286,5.6,19.8267440369685,91.0022,10875.6618443092,73,0.3084765647178167,DOM,3.6310189999999998
Ecuador,0.59183432263246,5441.596,0.4095467594005957,0.7102549718321644,0.5111656660944826,-0.4600800680745006,0.4774979504060973,0.27775123036611926,-0.41704372338146534,-0.14905364421004666,77.3924,2.81701230306929,99.03,92.2725010923607,22.7,16.6570210758922,77.1727,6874.705739766,74,0.21687482945176742,ECU,5.441596
Egypt,-0.2230878751531313,43582.614,0.2713077513195018,0.44045941494964613,0.708217387820237,-0.2779266704261094,NA,NA,NA,-1.310189767614278,71.6335,3.61876269433075,93.69,97.52875000999437,20.4,NA,NA,NA,121,-0.06520329318402229,EGY,43.582614
El Salvador,-0.15717411389168728,1927.598,0.26105811035941373,0.2888888773751978,0.33422799771403766,0.5457234754622678,0.25749397685588643,-0.0749370474543012,-0.4556854470581546,0.4438669294431778,72.0993,3.67820795340856,90.69,87.55278375232294,10,20.0287144500145,67.6558,5579.65969165029,50,0.16038475097842647,SLV,1.927598
Equatorial Guinea,-1.3447255678596752,800.501,-1.6601605017217962,-2.1594805395773906,NA,0.06262098604696949,-0.744120025804402,-0.3450871739479615,-0.42090195804042113,NA,63.7071,14.8207775892621,42.23,NA,16.1,35.3790521811967,60.3661,6745.40013244916,NA,-0.9445506829863825,GNQ,0.800501
